"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Total!!Margin of Error","Alabama!!60 years and over!!Estimate","Alabama!!60 years and over!!Margin of Error","Alaska!!Total!!Estimate","Alaska!!Total!!Margin of Error","Alaska!!60 years and over!!Estimate","Alaska!!60 years and over!!Margin of Error","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!60 years and over!!Estimate","Arizona!!60 years and over!!Margin of Error","Arkansas!!Total!!Estimate","Arkansas!!Total!!Margin of Error","Arkansas!!60 years and over!!Estimate","Arkansas!!60 years and over!!Margin of Error","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!60 years and over!!Estimate","California!!60 years and over!!Margin of Error","Colorado!!Total!!Estimate","Colorado!!Total!!Margin of Error","Colorado!!60 years and over!!Estimate","Colorado!!60 years and over!!Margin of Error","Connecticut!!Total!!Estimate","Connecticut!!Total!!Margin of Error","Connecticut!!60 years and over!!Estimate","Connecticut!!60 years and over!!Margin of Error","Delaware!!Total!!Estimate","Delaware!!Total!!Margin of Error","Delaware!!60 years and over!!Estimate","Delaware!!60 years and over!!Margin of Error","District of Columbia!!Total!!Estimate","District of Columbia!!Total!!Margin of Error","District of Columbia!!60 years and over!!Estimate","District of Columbia!!60 years and over!!Margin of Error","Florida!!Total!!Estimate","Florida!!Total!!Margin of Error","Florida!!60 years and over!!Estimate","Florida!!60 years and over!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!60 years and over!!Estimate","Georgia!!60 years and over!!Margin of Error","Hawaii!!Total!!Estimate","Hawaii!!Total!!Margin of Error","Hawaii!!60 years and over!!Estimate","Hawaii!!60 years and over!!Margin of Error","Idaho!!Total!!Estimate","Idaho!!Total!!Margin of Error","Idaho!!60 years and over!!Estimate","Idaho!!60 years and over!!Margin of Error","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!60 years and over!!Estimate","Illinois!!60 years and over!!Margin of Error","Indiana!!Total!!Estimate","Indiana!!Total!!Margin of Error","Indiana!!60 years and over!!Estimate","Indiana!!60 years and over!!Margin of Error","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!60 years and over!!Estimate","Iowa!!60 years and over!!Margin of Error","Kansas!!Total!!Estimate","Kansas!!Total!!Margin of Error","Kansas!!60 years and over!!Estimate","Kansas!!60 years and over!!Margin of Error","Kentucky!!Total!!Estimate","Kentucky!!Total!!Margin of Error","Kentucky!!60 years and over!!Estimate","Kentucky!!60 years and over!!Margin of Error","Louisiana!!Total!!Estimate","Louisiana!!Total!!Margin of Error","Louisiana!!60 years and over!!Estimate","Louisiana!!60 years and over!!Margin of Error","Maine!!Total!!Estimate","Maine!!Total!!Margin of Error","Maine!!60 years and over!!Estimate","Maine!!60 years and over!!Margin of Error","Maryland!!Total!!Estimate","Maryland!!Total!!Margin of Error","Maryland!!60 years and over!!Estimate","Maryland!!60 years and over!!Margin of Error","Massachusetts!!Total!!Estimate","Massachusetts!!Total!!Margin of Error","Massachusetts!!60 years and over!!Estimate","Massachusetts!!60 years and over!!Margin of Error","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!60 years and over!!Estimate","Michigan!!60 years and over!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!60 years and over!!Estimate","Minnesota!!60 years and over!!Margin of Error","Mississippi!!Total!!Estimate","Mississippi!!Total!!Margin of Error","Mississippi!!60 years and over!!Estimate","Mississippi!!60 years and over!!Margin of Error","Missouri!!Total!!Estimate","Missouri!!Total!!Margin of Error","Missouri!!60 years and over!!Estimate","Missouri!!60 years and over!!Margin of Error","Montana!!Total!!Estimate","Montana!!Total!!Margin of Error","Montana!!60 years and over!!Estimate","Montana!!60 years and over!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!60 years and over!!Estimate","Nebraska!!60 years and over!!Margin of Error","Nevada!!Total!!Estimate","Nevada!!Total!!Margin of Error","Nevada!!60 years and over!!Estimate","Nevada!!60 years and over!!Margin of Error","New Hampshire!!Total!!Estimate","New Hampshire!!Total!!Margin of Error","New Hampshire!!60 years and over!!Estimate","New Hampshire!!60 years and over!!Margin of Error","New Jersey!!Total!!Estimate","New Jersey!!Total!!Margin of Error","New Jersey!!60 years and over!!Estimate","New Jersey!!60 years and over!!Margin of Error","New Mexico!!Total!!Estimate","New Mexico!!Total!!Margin of Error","New Mexico!!60 years and over!!Estimate","New Mexico!!60 years and over!!Margin of Error","New York!!Total!!Estimate","New York!!Total!!Margin of Error","New York!!60 years and over!!Estimate","New York!!60 years and over!!Margin of Error","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!60 years and over!!Estimate","North Carolina!!60 years and over!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!60 years and over!!Estimate","North Dakota!!60 years and over!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!60 years and over!!Estimate","Ohio!!60 years and over!!Margin of Error","Oklahoma!!Total!!Estimate","Oklahoma!!Total!!Margin of Error","Oklahoma!!60 years and over!!Estimate","Oklahoma!!60 years and over!!Margin of Error","Oregon!!Total!!Estimate","Oregon!!Total!!Margin of Error","Oregon!!60 years and over!!Estimate","Oregon!!60 years and over!!Margin of Error","Pennsylvania!!Total!!Estimate","Pennsylvania!!Total!!Margin of Error","Pennsylvania!!60 years and over!!Estimate","Pennsylvania!!60 years and over!!Margin of Error","Rhode Island!!Total!!Estimate","Rhode Island!!Total!!Margin of Error","Rhode Island!!60 years and over!!Estimate","Rhode Island!!60 years and over!!Margin of Error","South Carolina!!Total!!Estimate","South Carolina!!Total!!Margin of Error","South Carolina!!60 years and over!!Estimate","South Carolina!!60 years and over!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!60 years and over!!Estimate","South Dakota!!60 years and over!!Margin of Error","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!60 years and over!!Estimate","Tennessee!!60 years and over!!Margin of Error","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!60 years and over!!Estimate","Texas!!60 years and over!!Margin of Error","Utah!!Total!!Estimate","Utah!!Total!!Margin of Error","Utah!!60 years and over!!Estimate","Utah!!60 years and over!!Margin of Error","Vermont!!Total!!Estimate","Vermont!!Total!!Margin of Error","Vermont!!60 years and over!!Estimate","Vermont!!60 years and over!!Margin of Error","Virginia!!Total!!Estimate","Virginia!!Total!!Margin of Error","Virginia!!60 years and over!!Estimate","Virginia!!60 years and over!!Margin of Error","Washington!!Total!!Estimate","Washington!!Total!!Margin of Error","Washington!!60 years and over!!Estimate","Washington!!60 years and over!!Margin of Error","West Virginia!!Total!!Estimate","West Virginia!!Total!!Margin of Error","West Virginia!!60 years and over!!Estimate","West Virginia!!60 years and over!!Margin of Error","Wisconsin!!Total!!Estimate","Wisconsin!!Total!!Margin of Error","Wisconsin!!60 years and over!!Estimate","Wisconsin!!60 years and over!!Margin of Error","Wyoming!!Total!!Estimate","Wyoming!!Total!!Margin of Error","Wyoming!!60 years and over!!Estimate","Wyoming!!60 years and over!!Margin of Error","Puerto Rico!!Total!!Estimate","Puerto Rico!!Total!!Margin of Error","Puerto Rico!!60 years and over!!Estimate","Puerto Rico!!60 years and over!!Margin of Error"
"Total population","5,074,296","*****","1,254,589","±8,153","733,583","*****","145,091","±2,694","7,359,197","*****","1,838,642","±8,320","3,045,637","*****","738,823","±5,954","39,029,342","*****","8,492,450","±21,128","5,839,926","*****","1,275,099","±7,976","3,626,205","*****","922,708","±7,490","1,018,396","*****","290,180","±3,350","671,803","*****","120,337","±2,589","22,244,823","*****","6,314,895","±14,652","10,912,876","*****","2,299,476","±12,342","1,440,196","*****","386,247","±3,918","1,939,033","*****","445,778","±4,786","12,582,032","*****","2,974,355","±11,569","6,833,037","*****","1,602,123","±8,553","3,200,517","*****","802,930","±5,586","2,937,150","*****","690,283","±4,930","4,512,310","*****","1,097,872","±6,845","4,590,241","*****","1,096,897","±7,007","1,385,340","*****","423,421","±4,016","6,164,660","*****","1,459,662","±8,774","6,981,974","*****","1,738,871","±9,354","10,034,118","*****","2,593,502","±10,484","5,717,184","*****","1,389,080","±6,506","2,940,057","*****","711,915","±5,678","6,177,957","*****","1,542,945","±8,665","1,122,867","*****","304,751","±3,388","1,967,923","*****","463,228","±4,289","3,177,772","*****","730,781","±6,428","1,395,231","*****","395,106","±4,309","9,261,699","*****","2,244,217","±9,468","2,113,344","*****","541,085","±4,957","19,677,151","*****","4,881,715","±16,149","10,698,973","*****","2,565,100","±10,090","779,261","*****","177,613","±2,438","11,756,058","*****","2,973,824","±11,415","4,019,800","*****","913,608","±4,400","4,240,137","*****","1,086,451","±6,832","12,972,008","*****","3,462,218","±12,576","1,093,734","*****","286,567","±4,581","5,282,634","*****","1,376,023","±7,963","909,824","*****","229,647","±2,770","7,051,339","*****","1,677,613","±10,741","30,029,572","*****","5,699,843","±19,906","3,380,800","*****","564,294","±5,206","647,064","*****","193,012","±2,820","8,683,619","*****","2,015,868","±10,894","7,785,786","*****","1,789,686","±9,015","1,775,156","*****","502,518","±4,716","5,892,539","*****","1,526,889","±6,815","581,381","*****","146,340","±2,749","","","",""
"    SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","48.5%","±0.1","44.9%","±0.3","52.6%","±0.3","51.2%","±0.8","50.0%","±0.1","46.5%","±0.2","49.4%","±0.1","46.1%","±0.4","50.1%","±0.1","46.0%","±0.1","50.7%","±0.1","46.8%","±0.2","49.0%","±0.1","45.6%","±0.4","48.6%","±0.1","45.6%","±0.7","47.6%","±0.1","43.6%","±1.0","49.2%","±0.1","45.8%","±0.1","48.8%","±0.1","44.8%","±0.2","50.4%","±0.1","46.3%","±0.4","50.4%","±0.1","47.6%","±0.4","49.5%","±0.1","45.6%","±0.2","49.7%","±0.1","45.7%","±0.2","50.2%","±0.1","46.9%","±0.3","50.2%","±0.1","45.9%","±0.3","49.5%","±0.1","45.7%","±0.3","49.0%","±0.1","45.1%","±0.3","49.4%","±0.2","46.8%","±0.4","48.7%","±0.1","45.0%","±0.3","49.0%","±0.1","45.3%","±0.2","49.6%","±0.1","46.5%","±0.2","50.2%","±0.1","47.1%","±0.2","48.5%","±0.2","44.7%","±0.4","49.3%","±0.1","45.8%","±0.3","50.5%","±0.2","48.4%","±0.6","50.2%","±0.2","46.9%","±0.4","50.3%","±0.1","47.5%","±0.3","49.9%","±0.2","47.6%","±0.5","49.3%","±0.1","45.1%","±0.2","49.6%","±0.3","46.3%","±0.4","48.9%","±0.1","45.1%","±0.1","48.9%","±0.1","45.1%","±0.2","51.2%","±0.3","47.8%","±0.8","49.4%","±0.1","45.8%","±0.2","49.9%","±0.1","46.2%","±0.3","50.0%","±0.1","46.2%","±0.3","49.3%","±0.1","45.5%","±0.1","49.0%","±0.2","44.9%","±0.8","48.6%","±0.1","45.3%","±0.3","50.8%","±0.3","47.4%","±0.7","49.1%","±0.1","45.4%","±0.3","50.0%","±0.1","46.0%","±0.1","50.8%","±0.1","47.9%","±0.4","49.6%","±0.2","47.1%","±0.6","49.5%","±0.1","45.5%","±0.2","50.5%","±0.1","46.8%","±0.2","49.7%","±0.2","46.5%","±0.4","50.2%","±0.1","47.3%","±0.2","51.2%","±0.4","49.1%","±0.9","","","",""
"        Female","51.5%","±0.1","55.1%","±0.3","47.4%","±0.3","48.8%","±0.8","50.0%","±0.1","53.5%","±0.2","50.6%","±0.1","53.9%","±0.4","49.9%","±0.1","54.0%","±0.1","49.3%","±0.1","53.2%","±0.2","51.0%","±0.1","54.4%","±0.4","51.4%","±0.1","54.4%","±0.7","52.4%","±0.1","56.4%","±1.0","50.8%","±0.1","54.2%","±0.1","51.2%","±0.1","55.2%","±0.2","49.6%","±0.1","53.7%","±0.4","49.6%","±0.1","52.4%","±0.4","50.5%","±0.1","54.4%","±0.2","50.3%","±0.1","54.3%","±0.2","49.8%","±0.1","53.1%","±0.3","49.8%","±0.1","54.1%","±0.3","50.5%","±0.1","54.3%","±0.3","51.0%","±0.1","54.9%","±0.3","50.6%","±0.2","53.2%","±0.4","51.3%","±0.1","55.0%","±0.3","51.0%","±0.1","54.7%","±0.2","50.4%","±0.1","53.5%","±0.2","49.8%","±0.1","52.9%","±0.2","51.5%","±0.2","55.3%","±0.4","50.7%","±0.1","54.2%","±0.3","49.5%","±0.2","51.6%","±0.6","49.8%","±0.2","53.1%","±0.4","49.7%","±0.1","52.5%","±0.3","50.1%","±0.2","52.4%","±0.5","50.7%","±0.1","54.9%","±0.2","50.4%","±0.3","53.7%","±0.4","51.1%","±0.1","54.9%","±0.1","51.1%","±0.1","54.9%","±0.2","48.8%","±0.3","52.2%","±0.8","50.6%","±0.1","54.2%","±0.2","50.1%","±0.1","53.8%","±0.3","50.0%","±0.1","53.8%","±0.3","50.7%","±0.1","54.5%","±0.1","51.0%","±0.2","55.1%","±0.8","51.4%","±0.1","54.7%","±0.3","49.2%","±0.3","52.6%","±0.7","50.9%","±0.1","54.6%","±0.3","50.0%","±0.1","54.0%","±0.1","49.2%","±0.1","52.1%","±0.4","50.4%","±0.2","52.9%","±0.6","50.5%","±0.1","54.5%","±0.2","49.5%","±0.1","53.2%","±0.2","50.3%","±0.2","53.5%","±0.4","49.8%","±0.1","52.7%","±0.2","48.8%","±0.4","50.9%","±0.9","","","",""
"        Median age (years)","39.6","±0.2","69.7","±0.2","35.9","±0.3","68.5","±0.4","38.8","±0.1","70.6","±0.1","38.9","±0.3","69.9","±0.2","37.9","±0.1","69.8","±0.1","37.7","±0.2","69.5","±0.2","40.9","±0.2","69.8","±0.2","41.5","±0.3","69.8","±0.3","34.9","±0.1","69.6","±0.4","42.7","±0.1","71.0","±0.1","37.6","±0.1","69.5","±0.2","40.8","±0.2","70.7","±0.2","37.5","±0.2","69.9","±0.2","39.1","±0.3","69.9","±0.1","38.2","±0.2","69.8","±0.2","38.9","±0.2","70.1","±0.2","37.6","±0.2","69.9","±0.2","39.4","±0.2","69.5","±0.2","38.2","±0.2","69.4","±0.2","45.1","±0.2","69.9","±0.2","39.7","±0.2","69.6","±0.2","40.3","±0.2","69.8","±0.1","40.3","±0.1","69.7","±0.2","39.0","±0.2","69.7","±0.1","38.9","±0.2","69.6","±0.2","39.1","±0.2","69.8","±0.2","40.2","±0.3","70.0","±0.3","37.4","±0.2","70.0","±0.2","39.0","±0.2","69.9","±0.2","43.3","±0.2","69.5","±0.3","40.4","±0.1","69.8","±0.2","39.4","±0.3","70.2","±0.2","40.0","±0.2","70.1","±0.2","39.2","±0.2","69.8","±0.2","36.2","±0.3","69.7","±0.3","39.9","±0.1","69.8","±0.2","37.1","±0.2","69.8","±0.1","40.5","±0.2","70.3","±0.2","40.9","±0.2","70.0","±0.2","40.7","±0.4","69.7","±0.3","40.5","±0.2","69.9","±0.2","38.5","±0.4","69.5","±0.3","39.2","±0.1","69.7","±0.2","35.6","±0.1","69.3","±0.2","32.1","±0.2","69.4","±0.2","43.2","±0.3","69.7","±0.3","39.0","±0.2","69.8","±0.2","38.4","±0.2","69.9","±0.2","42.9","±0.2","70.2","±0.3","40.4","±0.2","69.6","±0.2","39.1","±0.5","69.5","±0.3","","","",""
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","94.9%","±0.2","97.2%","±0.2","85.8%","±1.0","93.6%","±0.8","80.6%","±0.5","90.0%","±0.3","89.2%","±0.6","94.9%","±0.5","81.0%","±0.2","87.9%","±0.2","85.4%","±0.4","92.2%","±0.4","88.6%","±0.5","94.7%","±0.4","90.4%","±0.6","95.8%","±0.6","89.8%","±0.8","93.7%","±1.5","80.9%","±0.2","87.0%","±0.2","91.7%","±0.3","95.9%","±0.3","71.3%","±0.9","85.1%","±0.9","90.2%","±0.5","95.0%","±0.5","89.1%","±0.3","94.2%","±0.3","93.0%","±0.2","96.9%","±0.2","93.6%","±0.3","97.7%","±0.3","90.0%","±0.4","95.5%","±0.4","94.0%","±0.3","97.4%","±0.3","93.1%","±0.3","95.8%","±0.3","94.8%","±0.3","96.9%","±0.4","91.8%","±0.3","96.1%","±0.3","89.3%","±0.3","95.1%","±0.2","92.9%","±0.2","96.9%","±0.2","93.3%","±0.2","97.5%","±0.2","95.4%","±0.3","97.3%","±0.3","92.7%","±0.2","96.0%","±0.2","93.2%","±0.4","95.9%","±0.5","91.1%","±0.5","96.1%","±0.5","82.3%","±0.6","91.2%","±0.6","93.5%","±0.5","96.9%","±0.5","87.8%","±0.3","92.3%","±0.3","74.7%","±0.8","79.6%","±0.8","89.9%","±0.2","93.3%","±0.2","92.1%","±0.2","96.6%","±0.2","94.8%","±0.6","98.1%","±0.6","93.5%","±0.2","97.1%","±0.2","85.6%","±0.4","92.5%","±0.3","88.1%","±0.4","94.2%","±0.4","92.8%","±0.2","97.3%","±0.2","87.9%","±1.0","94.5%","±0.7","93.6%","±0.3","97.0%","±0.3","93.7%","±0.6","97.2%","±0.6","93.1%","±0.2","96.8%","±0.3","76.2%","±0.3","83.8%","±0.3","91.2%","±0.4","95.5%","±0.5","94.5%","±0.5","96.5%","±0.5","90.8%","±0.2","96.1%","±0.2","87.4%","±0.3","94.2%","±0.3","95.3%","±0.3","97.3%","±0.3","92.1%","±0.2","97.2%","±0.2","91.7%","±0.7","95.0%","±1.0","","","",""
"            White","65.1%","±0.1","74.2%","±0.3","59.6%","±0.4","73.1%","±1.1","57.8%","±0.3","76.8%","±0.3","69.1%","±0.4","81.2%","±0.4","38.9%","±0.1","53.5%","±0.1","70.3%","±0.3","82.6%","±0.3","65.0%","±0.3","80.9%","±0.5","59.9%","±0.4","75.7%","±0.7","38.4%","±0.5","34.6%","±1.1","55.9%","±0.2","71.3%","±0.2","51.3%","±0.1","64.9%","±0.3","22.2%","±0.3","26.6%","±0.5","81.9%","±0.4","90.8%","±0.6","61.1%","±0.2","73.6%","±0.3","77.5%","±0.1","87.5%","±0.3","84.4%","±0.2","93.9%","±0.3","76.3%","±0.4","86.9%","±0.4","83.1%","±0.1","89.9%","±0.3","57.6%","±0.2","67.5%","±0.3","90.8%","±0.3","95.4%","±0.4","48.4%","±0.2","60.7%","±0.3","68.8%","±0.2","83.5%","±0.3","74.0%","±0.1","83.6%","±0.2","77.2%","±0.2","91.1%","±0.2","55.7%","±0.2","66.0%","±0.4","77.6%","±0.2","85.6%","±0.3","85.1%","±0.5","91.6%","±0.6","78.4%","±0.4","90.2%","±0.5","49.1%","±0.4","67.0%","±0.6","87.5%","±0.4","94.1%","±0.6","54.1%","±0.2","68.9%","±0.3","46.4%","±0.7","59.3%","±0.7","55.2%","±0.1","66.2%","±0.2","62.2%","±0.1","75.0%","±0.2","83.2%","±0.4","93.6%","±1.1","77.1%","±0.1","85.6%","±0.2","65.2%","±0.2","79.1%","±0.3","74.5%","±0.3","87.2%","±0.4","74.4%","±0.1","85.9%","±0.2","70.5%","±0.7","85.4%","±0.8","63.6%","±0.2","73.9%","±0.3","80.8%","±0.4","91.2%","±0.9","73.0%","±0.2","82.6%","±0.3","47.6%","±0.2","61.9%","±0.3","79.2%","±0.4","88.5%","±0.5","90.9%","±0.4","94.7%","±0.7","60.2%","±0.2","72.0%","±0.3","65.9%","±0.2","81.0%","±0.3","90.3%","±0.2","93.9%","±0.4","80.4%","±0.2","91.3%","±0.2","84.6%","±0.7","90.3%","±1.1","","","",""
"            Black or African American","25.7%","±0.2","21.4%","±0.3","3.0%","±0.5","2.0%","±0.5","4.6%","±0.1","2.9%","±0.1","14.4%","±0.2","11.5%","±0.4","5.4%","±0.1","5.3%","±0.1","4.0%","±0.1","2.8%","±0.1","10.5%","±0.2","7.2%","±0.3","22.1%","±0.5","16.1%","±0.7","42.1%","±0.5","53.9%","±1.6","15.0%","±0.1","9.8%","±0.1","31.0%","±0.2","25.9%","±0.3","1.8%","±0.1","0.7%","±0.2","0.7%","±0.1","0.2%","±0.1","13.4%","±0.1","11.8%","±0.2","9.3%","±0.1","6.7%","±0.2","3.8%","±0.2","1.7%","±0.2","5.2%","±0.2","4.4%","±0.3","7.7%","±0.2","6.2%","±0.2","31.1%","±0.2","25.4%","±0.3","1.6%","±0.2","0.4%","±0.1","29.6%","±0.2","26.9%","±0.3","7.1%","±0.2","4.6%","±0.2","13.2%","±0.1","10.3%","±0.2","7.0%","±0.1","3.0%","±0.2","36.6%","±0.3","29.9%","±0.4","10.7%","±0.1","8.2%","±0.2","0.3%","±0.1","0.1%","±0.1","4.7%","±0.2","2.5%","±0.2","9.4%","±0.3","7.1%","±0.3","1.4%","±0.2","0.5%","±0.2","12.6%","±0.2","10.3%","±0.2","2.1%","±0.2","1.6%","±0.3","14.4%","±0.1","12.4%","±0.2","20.4%","±0.2","17.6%","±0.2","3.3%","±0.3","0.6%","±0.4","12.0%","±0.1","9.3%","±0.2","6.8%","±0.2","5.3%","±0.2","2.0%","±0.1","1.1%","±0.1","10.5%","±0.1","7.6%","±0.1","5.5%","±0.6","2.9%","±0.5","25.1%","±0.2","20.9%","±0.3","2.0%","±0.3","0.5%","±0.2","15.6%","±0.1","12.4%","±0.3","12.1%","±0.1","10.1%","±0.1","1.1%","±0.1","0.5%","±0.1","1.0%","±0.2","0.5%","±0.2","18.7%","±0.1","16.9%","±0.2","4.0%","±0.1","2.5%","±0.1","3.4%","±0.2","2.5%","±0.2","6.0%","±0.1","3.5%","±0.1","0.7%","±0.2","0.3%","±0.2","","","",""
"            American Indian and Alaska Native","0.5%","±0.1","0.2%","±0.1","13.0%","±0.6","10.9%","±0.7","4.1%","±0.2","2.5%","±0.1","0.7%","±0.1","0.5%","±0.2","1.3%","±0.1","1.0%","±0.1","1.2%","±0.2","0.7%","±0.1","0.3%","±0.1","0.1%","±0.1","0.4%","±0.1","0.2%","±0.1","0.5%","±0.2","0.2%","±0.1","0.4%","±0.1","0.2%","±0.1","0.5%","±0.1","0.2%","±0.1","0.3%","±0.1","0.3%","±0.1","1.3%","±0.2","0.8%","±0.1","0.7%","±0.1","0.4%","±0.1","0.3%","±0.1","0.1%","±0.1","0.4%","±0.1","0.2%","±0.1","0.9%","±0.2","0.6%","±0.1","0.2%","±0.1","0.1%","±0.1","0.6%","±0.1","0.5%","±0.1","0.5%","±0.1","0.3%","±0.1","0.4%","±0.1","0.3%","±0.1","0.3%","±0.1","0.2%","±0.1","0.5%","±0.1","0.3%","±0.1","1.0%","±0.1","0.5%","±0.1","0.5%","±0.1","0.3%","±0.1","0.3%","±0.1","0.1%","±0.1","5.4%","±0.2","3.1%","±0.3","1.0%","±0.1","0.5%","±0.1","1.5%","±0.2","1.0%","±0.2","0.1%","±0.1","0.1%","±0.1","0.5%","±0.1","0.2%","±0.1","9.2%","±0.2","6.1%","±0.3","0.6%","±0.1","0.4%","±0.1","1.1%","±0.1","0.8%","±0.1","4.4%","±0.3","2.8%","±0.5","0.2%","±0.1","0.1%","±0.1","7.5%","±0.2","5.2%","±0.2","1.2%","±0.1","0.7%","±0.1","0.3%","±0.1","0.1%","±0.1","0.4%","±0.2","0.2%","±0.2","0.4%","±0.1","0.2%","±0.1","7.5%","±0.3","3.5%","±0.4","0.2%","±0.1","0.1%","±0.1","0.8%","±0.1","0.6%","±0.1","1.0%","±0.1","0.7%","±0.2","0.2%","±0.1","0.1%","±0.1","0.3%","±0.1","0.2%","±0.1","1.3%","±0.1","0.9%","±0.1","0.2%","±0.1","0.1%","±0.1","0.8%","±0.1","0.4%","±0.1","1.9%","±0.2","1.2%","±0.3","","","",""
